Fetching song list...
Matched 98/116 standards.json titles against 854 site songs
Found 854 songs, processing 98
Resuming from 0 already scraped
[1/98] Autumn Leaves                            ✓ Gm [1,3,4,9,-1...]
[2/98] No More Blues                            ✓ Dm [-,-,-,-,4...]
[3/98] Blue Bossa                               ✓ Cm [-4,8,6,4,3...]
[4/98] Take The 'A' Train                       ✓ C [8,-,17,8,13...]
[5/98] You Don't Know What Love Is              ✓ Fm [-4,3,3,1,4...]
[6/98] Yesterdays                               ✓ Dm [8,4,6,8,4...]
[7/98] When I fall in love                      ✓ Eb [-4,1,6,5,1...]
[8/98] What Is This Thing Called Love           ✓ C [11,11,8,8,11...]
[9/98] What a Wonderful World                   ✓ F [-4,0,1,5,8...]
[10/98] Well, You Needn't                        ✓ F [-8,-7,-4,1,8...]
[11/98] Wave                                     ✓ D [10,10,10,10,10...]
[12/98] There will never be another you          ✓ Eb [-4,-2,0,1,3...]
[13/98] There Is No Greater Love                 ✓ Bb [12,13,15,13,12...]
[14/98] The Way You Look Tonight                 ✓ F [8,1,3,5,6...]
[15/98] The Very Thought of You                  ✓ Ab [5,8,5,8,8...]
[16/98] The Nearness Of You                      ✓ F [-4,1,3,5,8...]
[17/98] The man I love                           ✓ Eb [-,8,10,8,10...]
[18/98] The Girl From Ipanema                    ✓ F [15,12,12,10,15...]
[19/98] Take Five                                ✓ Gb [-7,-2,1,3,4...]
[20/98] Summertime                               ✓ Am [8,4,8,6,4...]
[21/98] Stormy Weather                           ✓ G [4,5,8,4,5...]
[22/98] Stella by Starlight                      ✓ Bb [13,12,10,12,13...]
[23/98] Stardust                                 ✓ C [12,13,14,15,13...]
[24/98] St Thomas                                ✓ C [-,8,13,-,12...]
[25/98] Speak Low                                ✓ F [-4,5,3,-2,3...]
[26/98] Sophisticated Lady                       ✓ Fm [2,1,4,8,11...]
[27/98] Someone to Watch Over Me                 ✓ Eb [-,1,3,5,8...]
[28/98] Someday My Prince Will Come              ✓ Bb [8,13,9,12,10...]
[29/98] September Song                           ✓ C [1,5,12,10,10...]
[30/98] Satin Doll                               ✓ C [10,8,10,8,-...]
[31/98] Ruby, My Dear                            ✓ C [-,8,6,0,-1...]
[32/98] Round Midnight                           ✓ Ebm [-,-4,1,3,8...]
[33/98] Recorda Me                               ✓ Am [8,15,16,8,4...]
[34/98] Peace                                    ✓ Am [-,4,6,7,7...]
[35/98] Over The Rainbow                         ✓ Eb [1,13,12,8,10...]
[36/98] Out Of Nowhere                           ✓ G [8,10,12,15,13...]
[37/98] Ornithology                              ✓ G [-4,1,3,5,6...]
[38/98] One Note Samba                           ✓ C [8,8,8,8,8...]
[39/98] On Green Dolphin Street                  ✓ C [13,13,12,8,5...]
[40/98] Night and day                            ✓ C [8,8,8,6,5...]
[41/98] Nardis                                   ✓ C [12,17,-,4,5...]
[42/98] Naima                                    ✓ Ab [17,15,20,10,-...]
[43/98] My Funny Valentine                       ✓ Gm [1,3,4,3,4...]
[44/98] Moonlight Serenade                       ✓ Eb [10,12,13,10,12...]
[45/98] Moonlight in Vermont                     ✓ Eb [10,8,5,3,5...]
[46/98] Misty                                    ✓ Eb [8,5,0,-4,-2...]
[47/98] Lullaby of birdland                      ✓ Dm [8,6,4,3,1...]
[48/98] Like Someone in Love                     ✓ C [5,5,5,5,10...]
[49/98] Just Friends                             ✓ G [5,5,3,5,3...]
[50/98] Joy Spring                               ✓ F [-4,1,8,8,5...]
[51/98] I`ve got you under my skin               ✓ Eb [8,10,10,8,6...]
[52/98] Infant Eyes                              ✓ Eb [-2,3,0,3,5...]
[53/98] In a Sentimental Mood                    ✓ Em [-8,-6,-4,-1,1...]
[54/98] Impressions                              ✓ Dm [1,3,6,4,1...]
[55/98] I Love You                               ✓ F [8,8,-3,6,5...]
[56/98] I Got Rhythm                             ✓ Bb [-,8,10,13,15...]
[57/98] I Concentrate on You                     ✓ Eb [-,8,10,13,12...]
[58/98] How High The Moon                        ✓ G [-4,1,3,3,5...]
[59/98] Here s That Rainy Day                    ✓ F [-4,-4,-4,-4,-1...]
[60/98] Have You Met Miss Jones                  ✓ F [17,10,8,10,8...]
[61/98] Groovin' High                            ✓ Eb [8,5,-,-,8...]
[62/98] Giant steps                              ✓ C [19,15,12,8,11...]
[63/98] Georgia On My Mind                       ✓ F [5,8,5,3,-...]
[64/98] Freddie Freeloader                       ✓ Bb [5,10,3,8,-...]
[65/98] Four                                     ✓ Eb [-,8,10,12,-...]
[66/98] Footprints                               ✓ Cm [11,11,11,11,13...]
[67/98] Fly Me To The Moon                       ✓ Cm [16,15,13,11,9...]
[68/98] Fee-Fi-Fo-Fum                            ✓ Eb [19,17,15,12,10...]
[69/98] Embraceable You                          ✓ G [-,10,12,13,-...]
[70/98] Doxy                                     ✓ Bb [8,13,17,13,8...]
[71/98] Donna Lee                                ✓ Ab [-,12,13,12,10...]
[72/98] Desafinado                               ✓ F [-,8,10,12,13...]
[73/98] Days Of Wine And Roses                   ✓ F [-4,5,-,3,5...]
[74/98] Daahoud                                  ✓ Eb [-,3,0,1,4...]
[75/98] Corcovado                                ✓ C [-,5,3,5,3...]
[76/98] Confirmation                             ✓ F [-4,5,8,5,6...]
[77/98] Cherokee                                 ✓ Bb [5,8,10,13,10...]
[78/98] Caravan                                  ✓ Fm [8,9,8,3,6...]
[79/98] But Not For Me                           ✓ Eb [3,5,3,5,3...]
[80/98] Body And Soul                            ✓ Db [-,3,5,3,5...]
[81/98] Bluesette                                ✓ Bb [8,10,12,13,15...]
[82/98] Blues for Alice                          ✓ F [13,8,5,12,8...]
[83/98] Blue Monk                                ✓ Bb [5,6,7,8,10...]
[84/98] Blue In Green                            ✓ F [12,10,8,6,5...]
[85/98] Billie`s bounce                          ✓ F [8,7,8,13,16...]
[86/98] Beautiful Love                           ✓ Dm [1,3,4,8,6...]
[87/98] Beatrice                                 ✓ F [-,-,8,8,8...]
[88/98] Anthropology                             ✓ Bb [1,5,3,4,5...]
[89/98] Angel Eyes                               ✓ Cm [-,1,8,7,6...]
[90/98] Alone Together                           ✓ Dm [1,4,1,3,3...]
[91/98] All The Things You Are                   Fetching song list...
Matched 98/116 standards.json titles against 854 site songs
Found 854 songs, processing 98
Resuming from 90 already scraped
[91/98] All The Things You Are                   ✓ Ab [13,18,13,12,12...]
[92/98] All Of Me                                ✓ C [-,8,8,8,8...]
[93/98] All Blues                                ✓ G [17,8,5,8,6...]
[94/98] Alice In Wonderland                      ✓ G [-4,8,6,5,1...]
[95/98] Airegin                                  ✓ Ab [-,10,12,10,5...]
[96/98] Afternoon In Paris                       ✓ C [5,8,-,3,1...]
[97/98] A Night in Tunisia                       ✓ Dm [2,9,12,14,-...]
[98/98] A Foggy Day                              ✓ F [-,8,8,8,11...]

Done: 8 new, 0 skipped, 98 total → public/scraped-standards.json
